Wavelength.nm,Absorbtivity.mM,Absorbtivity.M,Nucleotide,Reference
230,2.6,2600,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.04,2040,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,7.78,7780,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,4.2,4200,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.66,2660,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.86,2860,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,5.12,5120,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,3.79,3790,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.43,2430,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.85,2850,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,5.19,5190,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.94,2940,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,5.34,5340,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,4.85,4850,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,7.41,7410,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,7.28,7280,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,3.54,3540,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,4.26,4260,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,6.2,6200,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.99,2990,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,3.87,3870,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,2.62,2620,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,7.67,7670,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,6.57,6570,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,3.66,3660,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,3.6,3600,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.55,5550,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.6,5600,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,3.59,3590,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,3.43,3430,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.51,5510,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,4.4,4400,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.91,5910,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.1,5100,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,7.42,7420,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,8.11,8110,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.12,5120,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.31,5310,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,7.04,7040,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,5.24,5240,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,5.96,5960,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,3.92,3920,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,7.29,7290,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,9.39,9390,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,5.55,5550,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,5.03,5030,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,6.22,6220,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,7.82,7820,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,5.33,5330,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,4.61,4610,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,6.03,6030,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,6.46,6460,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,6.5,6500,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,5.53,5530,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,7.23,7230,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,8.94,8940,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,7.11,7110,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,7.01,7010,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,7.95,7950,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
240,8.15,8150,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,8.68,8680,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,5.62,5620,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,6.84,6840,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,12.02,12020,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,7.91,7910,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,6.89,6890,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,7.06,7060,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,9.78,9780,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,7.52,7520,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,6.12,6120,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,6.7,6700,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,8.59,8590,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,7.57,7570,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
245,6.1,6100,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
